season,date,opponent,venue,score,outcome,scorers,competition,cup_round,game_no,comp_game_no,goals_for,goals_against,attendance,manager,referee,game_type,points,ssn_pts,ppg
1952/53,1952-08-23T00:00:00Z,Ilfracombe Town,A,0-1,L,NA,WL1,NA,1,1,0,1,NA,NA,NA,league,0,0,0
1952/53,1952-08-27T00:00:00Z,Peasedown Miners Welfare,H,1-1,D,Fielding,WL1,NA,2,2,1,1,NA,NA,NA,league,1,1,0.5
1952/53,1952-08-30T00:00:00Z,Yeovil Town Reserves,H,3-1,W,"Bird 2, Wood",WL1,NA,3,3,3,1,NA,NA,NA,league,3,4,1.3333333333333333
1952/53,1952-09-03T00:00:00Z,Peasedown Miners Welfare,A,0-1,L,NA,WL1,NA,4,4,0,1,NA,NA,NA,league,0,4,1
1952/53,1952-09-06T00:00:00Z,Clevedon,A,0-1,L,NA,WL1,NA,5,5,0,1,NA,NA,NA,league,0,4,0.8
1952/53,1952-09-11T00:00:00Z,Stonehouse Reserves,A,3-1,W,Unknown,WL1,NA,6,6,3,1,NA,NA,NA,league,3,7,1.1666666666666667
1952/53,1952-09-13T00:00:00Z,Salisbury,A,1-1,D,Lear,FAC,P,7,1,1,1,NA,NA,NA,cup,NA,NA,NA
1952/53,1952-09-20T00:00:00Z,Shepton Mallet Town,H,2-1,W,Ferris 2,FAAm,P,8,1,2,1,NA,NA,NA,cup,NA,NA,NA
1952/53,1952-09-27T00:00:00Z,Shepton Mallet Town,A,0-1,L,NA,FAAm,1Q,9,2,0,1,NA,NA,NA,cup,NA,NA,NA
1952/53,1952-10-11T00:00:00Z,Poole Town,H,2-1,W,Lear 2,WL1,NA,10,7,2,1,NA,NA,NA,league,3,10,1.4285714285714286
1952/53,1952-11-08T00:00:00Z,Bristol Rovers Colts,A,0-1,L,NA,WL1,NA,11,8,0,1,NA,NA,NA,league,0,10,1.25
1952/53,1952-11-15T00:00:00Z,Cinderford Town,H,4-1,W,"Heal 2, Ferris, Bird",WL1,NA,12,9,4,1,NA,NA,NA,league,3,13,1.4444444444444444
1952/53,1952-11-22T00:00:00Z,Ilfracombe Town,H,1-1,D,Jeans,WL1,NA,13,10,1,1,NA,NA,NA,league,1,14,1.4
1952/53,1952-12-13T00:00:00Z,Peasedown Miners Welfare,H,2-1,W,"Hobbs, Bird",SSC,2,14,1,2,1,NA,NA,NA,cup,NA,NA,NA
1952/53,1952-12-20T00:00:00Z,Minehead,H,1-1,D,Bird,WL1,NA,15,11,1,1,NA,NA,NA,league,1,15,1.3636363636363635
1952/53,1952-12-25T00:00:00Z,Radstock Town,H,3-1,W,"Gibbs, Heal, Bird",WL1,NA,16,12,3,1,NA,NA,NA,league,3,18,1.5
1952/53,1952-12-26T00:00:00Z,Frome Town,A,1-1,D,Gane,WL1,NA,17,13,1,1,NA,NA,NA,league,1,19,1.4615384615384615
1952/53,1952-12-27T00:00:00Z,Frome Town,H,2-1,W,"Hobbs, Heal",WL1,NA,18,14,2,1,NA,NA,NA,league,3,22,1.5714285714285714
1952/53,1953-01-03T00:00:00Z,Yeovil Town Reserves,A,1-1,D,Bird,WL1,NA,19,15,1,1,NA,NA,NA,league,1,23,1.5333333333333334
1952/53,1953-01-10T00:00:00Z,Bristol City Colts,H,0-1,L,NA,WL1,NA,20,16,0,1,NA,NA,NA,league,0,23,1.4375
1952/53,1953-01-17T00:00:00Z,Chippenham Town Reserves,A,2-1,W,"Ferris, Heal",WL1,NA,21,17,2,1,NA,NA,NA,league,3,26,1.5294117647058822
1952/53,1953-01-24T00:00:00Z,Trowbridge Town Reserves,H,0-1,L,NA,WL1,NA,22,18,0,1,NA,NA,NA,league,0,26,1.4444444444444444
1952/53,1953-02-07T00:00:00Z,Hoffman Athletic,A,2-1,W,"Lear, Hobbs",WL1,NA,23,19,2,1,NA,NA,NA,league,3,29,1.5263157894736843
1952/53,1953-02-14T00:00:00Z,Bristol Rovers Colts,H,0-1,L,NA,WL1,NA,24,20,0,1,NA,NA,NA,league,0,29,1.45
1952/53,1953-02-21T00:00:00Z,Bristol City Colts,A,0-1,L,NA,WL1,NA,25,21,0,1,NA,NA,NA,league,0,29,1.380952380952381
1952/53,1953-02-28T00:00:00Z,Weston-super-Mare,H,6-1,W,"Tarr 3, Heal 3",WL1,NA,26,22,6,1,NA,NA,NA,league,3,32,1.4545454545454546
1952/53,1953-03-07T00:00:00Z,Trowbridge Town Reserves,A,1-1,D,Bird,WL1,NA,27,23,1,1,NA,NA,NA,league,1,33,1.434782608695652
1952/53,1953-03-21T00:00:00Z,Minehead,A,2-1,W,"Bird, Hobbs",WL1,NA,28,24,2,1,NA,NA,NA,league,3,36,1.5
1952/53,1953-03-28T00:00:00Z,Hoffman Athletic,H,2-1,W,Tarr 2,WL1,NA,29,25,2,1,NA,NA,NA,league,3,39,1.56
1952/53,1953-04-03T00:00:00Z,Radstock Town,A,2-1,W,NA,WL1,NA,30,26,2,1,NA,NA,NA,league,3,42,1.6153846153846154
1952/53,1953-04-06T00:00:00Z,Weston-super-Mare,A,2-1,W,"Hill, Tarr",WL1,NA,31,27,2,1,NA,NA,NA,league,3,45,1.6666666666666667
1952/53,1953-04-11T00:00:00Z,Gloucester City Reserves,H,0-1,L,Heal 2,WL1,NA,32,28,0,1,NA,NA,NA,league,0,45,1.6071428571428572
1952/53,1953-04-18T00:00:00Z,Chippenham Town Reserves,H,4-1,W,NA,WL1,NA,33,29,4,1,NA,NA,NA,league,3,48,1.6551724137931034
1952/53,1953-04-22T00:00:00Z,Stonehouse Reserves,H,0-1,L,"Bird 2, Minall, Tarr",WL1,NA,34,30,0,1,NA,NA,NA,league,0,48,1.6
1952/53,1953-04-25T00:00:00Z,Gloucester City Reserves,A,1-1,D,NA,WL1,NA,35,31,1,1,NA,NA,NA,league,1,49,1.5806451612903225
1952/53,1953-04-27T00:00:00Z,Cinderford Town,A,5-1,W,Unknown,WL1,NA,36,32,5,1,NA,NA,NA,league,3,52,1.625
1952/53,1953-04-29T00:00:00Z,Clevedon,H,0-1,L,"Hobbs 2, Bird 2, Tarr",WL1,NA,37,33,0,1,NA,NA,NA,league,0,52,1.5757575757575757
1952/53,1953-05-02T00:00:00Z,Poole Town,A,0-1,L,NA,WL1,NA,38,34,0,1,NA,NA,NA,league,0,52,1.5294117647058822
1953/54,1953-08-22T00:00:00Z,Bristol City Colts,A,0-1,L,NA,WL1,NA,1,1,0,1,NA,NA,NA,league,0,0,0
1953/54,1953-08-26T00:00:00Z,Paulton Rovers,A,1-1,D,Tarr,WL1,NA,2,2,1,1,NA,NA,NA,league,1,1,0.5
1953/54,1953-08-29T00:00:00Z,Chippenham Town Reserves,H,1-1,D,Knowles,WL1,NA,3,3,1,1,NA,NA,NA,league,1,2,0.6666666666666666
1953/54,1953-09-02T00:00:00Z,Paulton Rovers,H,1-1,D,Knowles,WL1,NA,4,4,1,1,NA,NA,NA,league,1,3,0.75
1953/54,1953-09-12T00:00:00Z,Frome Town,A,3-1,W,"Wally Ford 2, Payne",WL1,NA,5,5,3,1,NA,NA,NA,league,3,6,1.2
1953/54,1953-09-19T00:00:00Z,Shepton Mallet Town,H,3-1,W,"Fielding, England, Payne",FAAm,PR,6,1,3,1,NA,NA,NA,cup,NA,NA,NA
1953/54,1953-09-26T00:00:00Z,Spencer Moulton,A,5-1,W,"Wally Ford 2, Woodland, Fielding, Lear",FAC,1Q,7,1,5,1,NA,NA,NA,cup,NA,NA,NA
1953/54,1953-10-03T00:00:00Z,Paulton Rovers,H,4-1,W,"Fielding, Wally Ford 3",FAAm,1,8,2,4,1,NA,NA,NA,cup,NA,NA,NA
1953/54,1953-10-10T00:00:00Z,Trowbridge Town,H,0-1,L,NA,FAC,2Q,9,2,0,1,NA,NA,NA,cup,NA,NA,NA
1953/54,1953-10-17T00:00:00Z,Radstock Town,A,5-1,W,"Payne, Lear, Woodland 2, OG",FAAm,2,10,3,5,1,NA,NA,NA,cup,NA,NA,NA
1953/54,1953-10-24T00:00:00Z,Stonehouse Reserves,H,2-1,W,Wally Ford 2,WL1,NA,11,6,2,1,NA,NA,NA,league,3,9,1.5
1953/54,1953-10-31T00:00:00Z,Bulford United,A,3-1,W,Compton 3,FAAm,3,12,4,3,1,NA,NA,NA,cup,NA,NA,NA
1953/54,1953-11-07T00:00:00Z,Frome Town,H,2-1,W,"Wally Ford, Compton",WL1,NA,13,7,2,1,NA,NA,NA,league,3,12,1.7142857142857142
1953/54,1953-11-14T00:00:00Z,Poole Town Reserveses,A,2-1,W,"Wally Ford, Woodland",WL1,NA,14,8,2,1,NA,NA,NA,league,3,15,1.875
1953/54,1953-11-21T00:00:00Z,Cinderford Town,H,2-1,W,"Wally Ford, Fielding",WL1,NA,15,9,2,1,NA,NA,NA,league,3,18,2
1953/54,1953-11-28T00:00:00Z,Chippenham Town Reserves,A,2-1,W,"Woodland, Lear",WL1,NA,16,10,2,1,NA,NA,NA,league,3,21,2.1
1953/54,1953-12-05T00:00:00Z,Highbridge Town,H,8-1,W,"Compton 4, Wally Ford 2, Leslie Dix 2",SSC,2,17,1,8,1,NA,NA,NA,cup,NA,NA,NA
1953/54,1953-12-12T00:00:00Z,Yeovil Town Reserves,H,3-1,W,"Woodland, Field, Wally Ford",WL1,NA,18,11,3,1,NA,NA,NA,league,3,24,2.1818181818181817
1953/54,1953-12-26T00:00:00Z,Bristol Rovers Colts,H,0-1,L,NA,WL1,NA,19,12,0,1,NA,NA,NA,league,0,24,2
1953/54,1954-01-02T00:00:00Z,Bishop Sutton,H,6-1,W,"Compton 3, Woodland, Wally Ford 2",SSC,3,20,2,6,1,NA,NA,NA,cup,NA,NA,NA
1953/54,1954-01-09T00:00:00Z,Peasedown Miners Welfare,H,2-1,W,"Wally Ford, Leslie Dix",WL1,NA,21,13,2,1,NA,NA,NA,league,3,27,2.076923076923077
1953/54,1954-01-16T00:00:00Z,Bristol Rovers Colts,A,1-1,D,Woodland,WL1,NA,22,14,1,1,NA,NA,NA,league,1,28,2
1953/54,1954-01-23T00:00:00Z,Weston-super-Mare,H,3-1,W,Leslie Dix 3,WL1,NA,23,15,3,1,NA,NA,NA,league,3,31,2.066666666666667
1953/54,1954-02-06T00:00:00Z,RAF Locking,A,4-1,W,"Leslie Dix, Fielding, Wally Ford, Compton",SSC,QF,24,3,4,1,NA,NA,NA,cup,NA,NA,NA
1953/54,1954-02-13T00:00:00Z,Yeovil Town Reserves,A,2-1,W,"Leslie Dix, Lear",WL1,NA,25,16,2,1,NA,NA,NA,league,3,34,2.125
1953/54,1954-02-20T00:00:00Z,Bristol City Colts,H,0-1,L,NA,WL1,NA,26,17,0,1,NA,NA,NA,league,0,34,2
1953/54,1954-02-27T00:00:00Z,Hoffman Athletic,A,2-1,W,"Wally Ford, Compton",WL1,NA,27,18,2,1,NA,NA,NA,league,3,37,2.0555555555555554
1953/54,1954-03-06T00:00:00Z,Clandown,A,0-1,L,NA,SSC,SF,28,4,0,1,NA,NA,NA,cup,NA,NA,NA
1953/54,1954-03-13T00:00:00Z,Peasedown Miners Welfare,A,6-1,W,"Leslie Dix 3, Wally Ford, Compton, Fielding",WL1,NA,29,19,6,1,NA,NA,NA,league,3,40,2.1052631578947367
1953/54,1954-03-20T00:00:00Z,Trowbridge Town Reserves,H,3-1,W,"Wally Ford 2, Leslie Dix",WL1,NA,30,20,3,1,NA,NA,NA,league,3,43,2.15
1953/54,1954-03-27T00:00:00Z,Clevedon,H,2-1,W,"Fielding, Wally Ford",WL1,NA,31,21,2,1,NA,NA,NA,league,3,46,2.1904761904761907
1953/54,1954-03-31T00:00:00Z,Trowbridge Town Reserves,A,1-1,D,Wally Ford,WL1,NA,32,22,1,1,NA,NA,NA,league,1,47,2.1363636363636362
1953/54,1954-04-03T00:00:00Z,Minehead,A,2-1,W,"Leslie Dix, Fielding",WL1,NA,33,23,2,1,NA,NA,NA,league,3,50,2.1739130434782608
1953/54,1954-04-07T00:00:00Z,Clevedon,A,1-1,D,Unknown,WL1,NA,34,24,1,1,NA,NA,NA,league,1,51,2.125
1953/54,1954-04-14T00:00:00Z,Poole Town Reserves,H,2-1,W,Unknown,WL1,NA,35,25,2,1,NA,NA,NA,league,3,54,2.16
1953/54,1954-04-16T00:00:00Z,Radstock Town,H,0-1,L,NA,WL1,NA,36,26,0,1,NA,NA,NA,league,0,54,2.076923076923077
1953/54,1954-04-17T00:00:00Z,Minehead,H,1-1,D,Leslie Dix,WL1,NA,37,27,1,1,NA,NA,NA,league,1,55,2.037037037037037
1953/54,1954-04-19T00:00:00Z,Radstock Town,A,1-1,D,Pinker,WL1,NA,38,28,1,1,NA,NA,NA,league,1,56,2
1953/54,1954-04-21T00:00:00Z,Cinderford Town,A,0-1,L,NA,WL1,NA,39,29,0,1,NA,NA,NA,league,0,56,1.9310344827586208
1953/54,1954-04-24T00:00:00Z,Gloucester City Reserves,A,2-1,W,"Leslie Dix, Woods",WL1,NA,40,30,2,1,NA,NA,NA,league,3,59,1.9666666666666666
1953/54,1954-04-26T00:00:00Z,Gloucester City Reserves,H,1-1,D,Fielding,WL1,NA,41,31,1,1,NA,NA,NA,league,1,60,1.935483870967742
1953/54,1954-04-28T00:00:00Z,Stonehouse Reserves,A,2-1,W,Unknown,WL1,NA,42,32,2,1,NA,NA,NA,league,3,63,1.96875
1953/54,1954-04-29T00:00:00Z,Weston-super-Mare,A,1-1,D,NA,WL1,NA,43,33,1,1,NA,NA,NA,league,1,64,1.9393939393939394
1953/54,1954-05-01T00:00:00Z,Hoffman Athletic,H,2-1,W,Leslie Dix,WL1,NA,44,34,2,1,NA,NA,NA,league,3,67,1.9705882352941178
1954/55,1954-08-21T00:00:00Z,Clevedon,A,4-1,W,"Hawkins 3, Wally Potts",WL1,NA,1,1,4,1,NA,NA,NA,league,3,3,3
1954/55,1954-08-25T00:00:00Z,Peasedown Miners Welfare,A,1-1,D,Hawkins,WL1,NA,2,2,1,1,NA,NA,NA,league,1,4,2
1954/55,1954-08-28T00:00:00Z,Chippenham Town Reserves,H,1-1,D,Hawkins,WL1,NA,3,3,1,1,NA,NA,NA,league,1,5,1.6666666666666667
1954/55,1954-09-01T00:00:00Z,Peasedown Miners Welfare,H,2-1,W,"Compton, Ford",WL1,NA,4,4,2,1,NA,NA,NA,league,3,8,2
1954/55,1954-09-04T00:00:00Z,Clandown,A,0-1,L,NA,FAAm,EP,5,1,0,1,NA,NA,NA,cup,NA,NA,NA
1954/55,1954-09-11T00:00:00Z,Swindon Victoria,H,3-1,W,"Grippey, Hawkins, Wally Potts",FAC,P,6,1,3,1,NA,NA,NA,cup,NA,NA,NA
1954/55,1954-09-18T00:00:00Z,Clevedon,H,0-1,L,NA,WL1,NA,7,5,0,1,NA,NA,NA,league,0,8,1.6
1954/55,1954-09-25T00:00:00Z,Chippenham Town Reserves,A,0-1,L,NA,WL1,NA,8,6,0,1,NA,NA,NA,league,0,8,1.3333333333333333
1954/55,1954-10-02T00:00:00Z,Gloucester City Reserves,A,0-1,L,NA,WL1,NA,9,7,0,1,NA,NA,NA,league,0,8,1.1428571428571428
1954/55,1954-10-09T00:00:00Z,Yeovil Town Reserves,H,3-1,W,"Fielding 2, Jock Guyan",WL1,NA,10,8,3,1,NA,NA,NA,league,3,11,1.375
1954/55,1954-10-16T00:00:00Z,Cinderford Town,A,1-1,D,Wally Potts,WL1,NA,11,9,1,1,NA,NA,NA,league,1,12,1.3333333333333333
1954/55,1954-10-23T00:00:00Z,Poole Town Reserves,A,2-1,W,"Jock Guyan, Wally Potts",WL1,NA,12,10,2,1,NA,NA,NA,league,3,15,1.5
1954/55,1954-10-30T00:00:00Z,Stonehouse,H,5-1,W,"Fielding, Wally Potts, Jock Guyan 3",WL1,NA,13,11,5,1,NA,NA,NA,league,3,18,1.6363636363636365
1954/55,1954-11-06T00:00:00Z,Paulton Rovers,H,6-1,W,"Fielding 3, Wally Potts 2, Dewfall",WL1,NA,14,12,6,1,NA,NA,NA,league,3,21,1.75
1954/55,1954-11-20T00:00:00Z,Cinderford Town,H,4-1,W,"Jock Guyan, Fielding, Wally Potts 2",WL1,NA,15,13,4,1,NA,NA,NA,league,3,24,1.8461538461538463
1954/55,1954-11-27T00:00:00Z,Frome Town,A,0-1,L,NA,WL1,NA,16,14,0,1,NA,NA,NA,league,0,24,1.7142857142857142
1954/55,1954-12-04T00:00:00Z,High Littleton,H,5-1,W,"Stone, Jock Guyan, Wally Potts 2, Dewfall",SSC,2,17,1,5,1,NA,NA,NA,cup,NA,NA,NA
1954/55,1954-12-11T00:00:00Z,Gloucester City Reserves,H,1-1,D,Light,WL1,NA,18,15,1,1,NA,NA,NA,league,1,25,1.6666666666666667
1954/55,1954-12-18T00:00:00Z,Clandown,A,1-1,D,Light,WL1,NA,19,16,1,1,NA,NA,NA,league,1,26,1.625
1954/55,1954-12-25T00:00:00Z,Radstock Town,H,7-1,W,"Woodford, Hollies, Wally Potts, Light, OG",WL1,NA,20,17,7,1,NA,NA,NA,league,3,29,1.7058823529411764
1954/55,1954-12-27T00:00:00Z,Radstock Town,A,3-1,W,"Jock Guyan, Wally Potts, Woodford",WL1,NA,21,18,3,1,NA,NA,NA,league,3,32,1.7777777777777777
1954/55,1955-01-01T00:00:00Z,Weston-super-Mare,H,1-1,D,Light,WL1,NA,22,19,1,1,NA,NA,NA,league,1,33,1.736842105263158
